CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
36092,16,179,11,34.18006,-118.58802,1.4,7,41,3,6/27/2016
36092,16,180,0,34.18674,-118.57588,1.1,8,41,3,6/28/2016
36092,16,181,13,34.18142,-118.58737,1.4,4,41,3,6/29/2016
36092,16,182,2,34.18387,-118.57239,1,8,57,3,6/30/2016
36092,16,182,14,34.17983,-118.58786,1.2,7,41,3,6/30/2016
36092,16,183,3,34.18707,-118.58023,1.6,5,63,3,7/1/2016
36092,16,183,15,34.17982,-118.58784,0.8,9,41,3,7/1/2016
36092,16,183,16,34.17977,-118.58792,1.3,6,41,3,7/1/2016
36092,16,184,4,34.18386,-118.58679,0.9,8,42,3,7/2/2016
36092,16,184,17,34.18249,-118.58596,1,9,69,3,7/2/2016
36092,16,185,5,34.18058,-118.58107,1.3,6,41,3,7/3/2016
36092,16,185,18,34.18391,-118.58541,0.9,9,42,3,7/3/2016
36092,16,186,6,34.18103,-118.57201,1.3,7,41,3,7/4/2016
36092,16,186,19,34.17964,-118.5754,1.3,6,69,3,7/4/2016
36092,16,187,7,34.18276,-118.58771,1.1,7,41,3,7/5/2016
36092,16,187,20,34.18004,-118.57546,9.8,4,47,3,7/5/2016
36092,16,188,21,34.18245,-118.58611,1.2,7,41,3,7/6/2016
36092,16,189,9,34.18132,-118.58719,0.8,9,41,3,7/7/2016
36092,16,189,22,34.18319,-118.58584,1,8,41,3,7/7/2016
36092,16,190,10,34.18033,-118.58847,1.6,5,41,3,7/8/2016
36092,16,190,23,34.18156,-118.57585,4.4,4,45,3,7/8/2016
36092,16,191,11,34.18566,-118.58418,0.9,8,41,3,7/9/2016
36092,16,192,0,34.18313,-118.58361,0.9,10,41,3,7/10/2016
36092,16,193,1,34.18002,-118.58839,1.5,6,41,3,7/11/2016
36092,16,194,2,34.18318,-118.57825,1,8,57,3,7/12/2016
36092,16,194,14,34.18089,-118.57557,0.9,8,41,3,7/12/2016
36092,16,195,3,34.1837,-118.582,0.9,8,41,3,7/13/2016
36092,16,195,15,34.1799,-118.57514,1.4,6,41,3,7/13/2016
36092,16,195,16,34.17976,-118.57502,1.1,7,41,3,7/13/2016
36092,16,196,4,34.18076,-118.57585,0.8,9,41,3,7/14/2016
36092,16,196,17,34.17987,-118.57523,0.8,9,41,3,7/14/2016
36092,16,197,5,34.18086,-118.58168,1,8,64,3,7/15/2016
36092,16,197,18,34.18344,-118.58193,1.2,6,41,3,7/15/2016
36092,16,198,6,34.1809,-118.58181,0.9,9,41,3,7/16/2016
36092,16,198,19,34.18325,-118.58142,1.3,6,63,3,7/16/2016
36092,16,199,7,34.18709,-118.58528,1,7,42,3,7/17/2016
36092,16,199,20,34.18007,-118.57487,1,8,68,3,7/17/2016
36092,16,200,8,34.18717,-118.58542,0.7,10,42,3,7/18/2016
36092,16,200,21,34.18248,-118.58471,1.4,6,41,3,7/18/2016
36092,16,201,22,34.18376,-118.58541,0.8,10,42,3,7/19/2016
36092,16,202,10,34.18109,-118.58733,0.8,9,41,3,7/20/2016
36092,16,202,23,34.18154,-118.58292,1.3,7,63,3,7/20/2016
36092,16,204,0,34.18424,-118.58199,1.4,7,41,3,7/22/2016
36092,16,205,1,34.18379,-118.58238,0.8,11,41,3,7/23/2016
36092,16,205,13,34.18363,-118.58349,1.2,7,42,3,7/23/2016
36092,16,206,2,34.17936,-118.58328,1.4,7,70,3,7/24/2016
36092,16,206,6,34.1796,-118.57361,1.4,6,120,3,7/24/2016
36092,16,206,14,34.18006,-118.58786,1.7,6,41,3,7/24/2016
36092,16,207,16,34.18361,-118.58347,0.8,10,41,3,7/25/2016
36092,16,208,4,34.18018,-118.57746,1.4,5,42,3,7/26/2016
36092,16,208,17,34.18361,-118.58347,0.8,10,41,3,7/26/2016
36092,16,209,5,34.18008,-118.58801,1.4,6,63,3,7/27/2016
36092,16,209,18,34.18702,-118.58246,1,8,41,3,7/27/2016
36092,16,210,6,34.17972,-118.57525,1.1,7,41,3,7/28/2016
36092,16,210,19,34.17966,-118.5751,1,7,41,3,7/28/2016
36092,16,211,7,34.17975,-118.58615,1,8,41,3,7/29/2016
36092,16,211,20,34.18014,-118.57981,1.2,6,42,3,7/29/2016
36092,16,212,21,34.18246,-118.58602,1.3,7,41,3,7/30/2016
36092,16,213,9,34.18709,-118.58254,1.2,7,41,3,7/31/2016
36092,16,213,22,34.18265,-118.58322,1,8,41,3,7/31/2016
36092,16,214,10,34.17974,-118.5752,1.1,7,41,3,8/1/2016
36092,16,214,23,34.18478,-118.58156,1.7,5,42,3,8/1/2016
36092,16,215,11,34.18007,-118.58412,1.4,5,41,3,8/2/2016
36092,16,216,0,34.18103,-118.57754,2,4,41,3,8/3/2016
36092,16,216,12,34.17999,-118.58792,0.9,8,41,3,8/3/2016
36092,16,217,1,34.18086,-118.57151,1.2,6,41,3,8/4/2016
36092,16,217,13,34.17943,-118.58624,1.6,4,41,3,8/4/2016
36092,16,218,2,34.18099,-118.57559,0.9,9,42,3,8/5/2016
36092,16,219,3,34.18017,-118.57548,1.2,6,41,3,8/6/2016
36092,16,219,15,34.18013,-118.58412,1.2,6,42,3,8/6/2016
36092,16,219,16,34.18011,-118.58399,0.9,8,41,3,8/6/2016
36092,16,220,4,34.18677,-118.58699,0.8,9,41,3,8/7/2016
36092,16,220,17,34.18294,-118.58328,0.9,10,41,3,8/7/2016
36092,16,221,5,34.1801,-118.57977,1,8,42,3,8/8/2016
36092,16,221,18,34.18281,-118.58339,0.9,9,41,3,8/8/2016
36092,16,222,6,34.18407,-118.58532,0.9,9,41,3,8/9/2016
36092,16,222,19,34.17955,-118.57451,1.5,5,47,3,8/9/2016
36092,16,223,7,34.17987,-118.58515,0.9,9,41,3,8/10/2016
36092,16,223,20,34.18367,-118.58277,1.2,7,41,3,8/10/2016
36092,16,224,21,34.18249,-118.5862,3.6,6,41,3,8/11/2016
36092,16,225,9,34.18143,-118.58732,0.9,9,41,3,8/12/2016
36092,16,226,23,34.18807,-118.58,1.1,7,41,3,8/13/2016
36092,16,228,12,34.18008,-118.58412,0.9,8,41,3,8/15/2016
36092,16,229,13,34.17927,-118.58596,1.5,5,65,3,8/16/2016
